代码,名称,买入价(元),卖出价(元),单次收益(元),单次收益率(%),交易数量(股),买入时间,卖出时间
'003040,楚天龙,21.2,23.32,6821805,9.89%,3252800,20250619,20250620
'002348,高乐股份,4.27,4.18,-1209833,-2.21%,12842900,20250617,20250618
'000403,派林生物,18.9,18.75,-501366,-0.89%,2970400,20250613,20250616
'002161,远望谷,7.56,7.34,-1938110,-3.01%,8523100,20250611,20250612
'600322,津投城开,2.74,2.66,-361940,-3.02%,4377600,20250609,20250610
'002427,尤夫股份,10.86,9.99,-6435725,-8.10%,7311600,20250605,20250606
'002177,御银股份,5.44,7.66,21565551,40.69%,9741000,20250529,20250604
'002229,鸿博股份,17.3,17.43,374054,0.65%,3321900,20250527,20250528
'002519,银河电子,5.06,4.97,-910218,-1.88%,9582000,20250523,20250526
'600986,浙文互联,8.85,8.56,-2038734,-3.37%,6826900,20250521,20250522
'002520,日发精机,7.4,7.23,-1482867,-2.39%,8364900,20250519,20250520
'000420,吉林化纤,4.24,4.77,6824511,12.39%,12990100,20250515,20250516
'002364,中恒电气,16.9,16.1,-2596161,-4.83%,3180400,20250513,20250514
'002124,天邦食品,3.53,3.2,-4157799,-9.44%,12475300,20250509,20250512
'002562,兄弟科技,5.1,4.84,-2251587,-5.19%,8499600,20250507,20250508
'002164,宁波东力,8.28,9.67,7263882,16.67%,5261100,20250430,20250506
'002104,恒宝股份,8.37,8.08,-1423171,-3.56%,4773300,20250428,20250429
'002255,海陆重工,9.78,9.32,-2936504,-4.80%,6255400,20250424,20250425
'300139,晓程科技,22.16,19.33,-9028919,-12.86%,3168000,20250422,20250423
'002427,尤夫股份,6.07,7.17,6438170,18.00%,5889800,20250418,20250421
'600300,维维股份,4.05,4.18,1921856,3.11%,15270700,20250417,20250418
'600292,远达环保,15.5,14.06,-6370650,-9.38%,4380200,20250415,20250416
'002427,尤夫股份,5.37,5.7,2650432,6.04%,8170700,20250411,20250414
'002165,红宝丽,6.8,7.57,6599201,11.21%,8653300,20250409,20250410
'600965,福成股份,5.91,6.56,3225671,10.89%,5011900,20250408,20250409
